number,throttle,steer
1,0,90
2,0,80
3,0,80
4,0,80
5,0,80
6,0,90
7,0,90
8,11,90
9,14,80
10,16,70
11,18,70
12,20,70
13,20,60
14,24,60
15,24,60
16,27,70
17,33,80
18,33,80
19,31,90
20,31,90
21,29,90
22,27,90
23,25,90
24,24,90
25,22,90
26,20,80
27,22,90
28,27,90
29,25,90
30,24,90
31,24,90
32,22,90
33,22,90
34,20,100
35,18,90
36,20,90
37,18,90
38,24,90
39,24,90
40,24,90
41,20,90
42,18,90
43,20,80
44,18,80
45,18,80
46,18,80
47,18,80
48,18,80
49,25,80
50,24,80
51,25,80
52,25,70
53,25,70
54,25,70
55,25,70
56,25,70
57,24,70
58,24,70
59,31,80
60,29,80
61,31,90
62,27,90
63,29,90
64,27,100
65,27,100
66,25,90
67,25,90
68,24,90
69,24,80
70,24,80
71,29,80
72,29,80
73,29,80
74,27,80
75,25,90
76,25,90
77,24,90
78,22,90
79,25,100
80,29,100
81,24,100
82,27,100
83,25,100
84,27,90
85,25,80
86,24,70
87,24,70
88,22,60
89,22,60
90,20,60
91,20,70
92,24,70
93,27,80
94,27,100
95,27,110
96,25,120
97,25,120
98,22,110
99,18,100
100,16,70
101,11,50
102,0,60
103,11,70
104,14,70
105,12,90
106,12,100
107,11,90
108,12,90
109,14,90
110,14,90
111,16,80
112,18,70
113,25,70
114,29,60
115,31,60
116,31,60
117,31,70
118,29,80
119,29,90
120,29,80
121,29,100
122,27,110
123,27,100
124,33,100
125,37,100
126,35,90
127,35,80
128,33,80
129,33,80
130,31,80
131,29,80
132,29,80
133,27,80
134,29,80
135,31,80
136,31,80
137,29,80
138,27,80
139,25,80
140,25,80
141,24,80
142,22,80
143,20,80
144,18,80
145,20,80
146,24,90
147,24,90
148,24,80
149,22,80
150,20,80
151,20,80
152,16,80
153,16,80
154,18,80
155,20,60
156,20,70
157,22,70
158,22,80
159,22,80
160,20,90
161,20,90
162,18,90
163,18,90
164,16,90
165,16,90
