number,throttle,steer
1,0,90
2,0,90
3,0,90
4,0,90
5,0,90
6,0,90
7,0,90
8,0,90
9,0,90
10,0,90
11,0,90
12,0,90
13,0,90
14,0,80
15,0,90
16,0,90
17,0,80
18,0,90
19,0,80
20,0,90
21,0,90
22,0,90
23,0,90
24,0,90
25,0,90
26,0,90
27,0,90
28,0,80
29,0,90
30,0,90
31,0,90
32,0,90
33,0,90
34,0,90
35,0,90
36,0,90
37,0,90
38,0,80
39,0,90
40,0,90
41,0,90
42,0,90
43,0,90
44,0,90
45,0,90
46,0,90
47,0,90
48,0,90
49,0,90
50,0,90
51,0,90
52,0,90
53,0,90
54,0,90
55,0,90
56,0,90
57,0,90
58,0,90
59,0,90
60,0,90
61,0,90
62,0,80
63,0,90
64,0,90
65,0,80
66,0,90
67,0,80
68,0,90
69,0,90
70,0,90
71,0,80
72,0,90
73,0,90
74,0,90
75,0,90
76,0,90
77,0,90
78,0,90
79,0,90
80,0,90
81,0,90
82,0,90
83,0,90
84,0,90
85,0,90
86,0,90
87,0,90
88,0,90
89,0,90
90,0,80
91,0,90
92,0,80
93,0,90
94,0,80
95,0,90
96,0,90
97,0,90
98,0,90
99,0,90
100,0,90
101,0,90
