number,throttle,steer
1,0,90
2,0,80
3,0,80
4,0,80
5,0,80
6,0,80
7,0,80
8,14,80
9,22,90
10,25,90
11,25,90
12,25,90
13,27,90
14,25,90
15,25,90
16,25,80
17,24,80
18,24,80
19,29,90
20,29,90
21,27,90
22,27,90
23,24,90
24,18,90
25,16,90
26,14,90
27,12,80
28,11,80
29,11,80
30,0,80
31,12,80
32,14,80
33,14,80
34,12,80
35,14,70
36,12,70
37,12,70
38,12,70
39,20,80
40,14,80
41,16,80
42,18,80
43,22,80
44,20,90
45,20,90
46,20,90
47,20,90
48,18,80
49,16,80
50,20,90
51,16,80
52,20,90
53,16,80
54,20,90
55,16,80
56,18,90
57,24,90
58,18,80
59,16,80
60,14,80
61,22,90
62,20,90
63,22,90
64,22,90
65,18,90
66,16,80
67,18,90
68,16,80
69,14,80
70,18,80
71,22,80
72,20,70
73,20,80
74,22,80
75,18,80
76,20,80
77,20,80
78,16,80
79,18,90
80,16,80
81,16,90
82,18,90
83,16,90
84,22,90
85,20,90
86,20,90
87,20,90
88,18,90
89,18,90
90,16,90
91,16,90
92,16,80
93,18,80
94,14,80
95,20,90
96,18,90
97,20,90
98,20,90
99,18,90
100,18,80
101,16,80
102,16,80
103,16,80
104,20,90
105,20,80
106,20,80
107,20,80
108,20,80
109,20,80
110,16,80
111,16,80
112,18,70
113,16,70
114,14,70
115,14,80
116,14,80
117,22,80
118,20,90
119,20,90
120,20,90
121,18,90
122,18,90
123,18,90
124,16,80
125,16,80
126,14,80
127,14,80
128,16,80
129,22,90
130,20,90
131,20,90
132,18,80
133,16,90
134,18,90
135,14,80
136,14,80
137,14,80
138,14,80
139,16,80
140,20,90
141,18,90
142,18,90
143,18,90
144,16,80
145,14,80
146,16,80
147,16,80
148,14,70
149,14,70
150,16,70
151,20,80
152,22,80
153,20,80
154,20,80
155,18,80
156,16,80
157,16,80
158,16,80
159,14,80
160,14,80
161,14,80
162,22,90
163,20,90
164,20,90
165,18,90
