number,throttle,steer
1,0,90
2,0,80
3,0,90
4,0,90
5,0,90
6,0,90
7,0,90
8,0,90
9,0,80
10,11,80
11,12,80
12,20,90
13,22,90
14,22,90
15,22,90
16,22,80
17,27,90
18,22,80
19,22,80
20,22,80
21,22,80
22,24,90
23,25,90
24,27,90
25,27,90
26,25,90
27,24,90
28,22,90
29,22,90
30,22,80
31,20,80
32,20,80
33,24,90
34,22,80
35,25,90
36,25,90
37,24,90
38,22,90
39,22,90
40,22,90
41,20,80
42,20,80
43,20,80
44,20,80
45,24,80
46,29,90
47,27,90
48,29,90
49,29,90
50,25,90
51,25,90
52,24,80
53,24,80
54,24,80
55,27,80
56,27,70
57,25,80
58,27,80
59,25,80
60,25,70
61,25,70
62,20,70
63,20,80
64,24,80
65,22,90
66,22,100
67,29,100
68,29,100
69,27,100
70,22,90
71,22,90
72,24,90
73,29,90
74,27,80
75,27,80
76,25,80
77,25,80
78,24,80
79,24,80
80,22,80
81,22,80
82,20,80
83,24,70
84,29,70
85,27,80
86,27,80
87,25,80
88,25,80
89,25,80
90,24,80
91,24,80
92,22,80
93,22,80
94,24,80
95,27,80
96,27,90
97,27,90
98,25,90
99,24,80
100,24,80
101,24,90
102,22,80
103,22,70
104,22,80
105,22,80
106,29,80
107,29,80
108,29,100
109,27,110
110,27,110
111,25,110
112,25,100
113,24,80
114,24,70
115,22,70
116,22,70
117,24,80
118,29,80
119,27,80
120,25,80
121,27,90
122,25,80
123,25,90
124,24,100
125,24,90
126,24,90
127,22,80
128,24,80
129,27,80
130,29,90
131,22,80
132,27,90
133,25,90
134,24,80
135,24,80
136,24,80
137,22,80
138,31,80
139,24,70
140,27,80
141,29,80
142,29,70
143,27,70
144,27,70
145,25,80
146,25,80
147,25,80
148,24,80
149,22,90
150,16,90
151,18,90
152,11,90
153,14,90
154,14,90
155,14,80
156,14,80
157,14,80
158,16,80
159,20,80
160,20,80
161,29,90
162,29,90
163,31,80
164,31,80
165,31,80
