number,throttle,steer
1,0,80
2,0,90
3,0,90
4,0,90
5,0,90
6,0,90
7,0,90
8,0,90
9,0,80
10,0,80
11,0,80
12,0,80
13,0,80
14,0,80
15,0,90
16,0,90
17,0,90
18,0,90
19,0,90
20,0,90
21,0,90
22,0,90
23,0,80
24,0,80
25,0,80
26,0,80
27,0,90
28,0,90
29,0,90
30,0,90
31,0,90
32,0,90
33,0,90
34,0,80
35,0,80
36,0,80
37,0,80
38,0,90
39,0,90
40,0,90
41,0,90
42,0,90
43,0,80
44,14,90
45,11,80
46,11,80
47,14,80
48,14,80
49,18,80
50,22,90
51,24,90
52,24,90
53,24,90
54,22,90
55,22,90
56,22,90
57,20,80
58,20,80
59,18,80
60,16,80
61,20,80
62,24,90
63,22,90
64,20,90
65,20,90
66,18,90
67,18,90
68,18,90
69,16,90
70,16,90
71,14,90
72,18,90
73,20,90
74,22,90
75,20,90
76,20,90
77,18,90
78,20,90
79,16,90
80,16,80
81,18,80
82,24,80
83,18,80
84,24,90
85,22,90
86,24,90
87,22,90
88,24,90
89,22,80
90,20,80
91,20,80
92,22,80
93,20,80
94,20,80
95,20,80
96,25,90
97,27,90
98,25,90
99,24,90
100,24,90
101,24,90
102,20,90
103,22,90
104,24,90
105,22,90
106,22,90
107,22,90
108,20,90
109,20,90
110,18,80
111,18,80
112,18,80
113,24,90
114,25,90
115,24,90
116,24,90
117,22,90
118,22,90
119,20,90
120,18,80
121,20,80
122,18,80
123,18,80
124,24,90
125,24,90
126,22,90
127,22,90
128,22,90
129,20,90
130,18,80
131,20,90
132,20,80
133,18,80
134,18,80
135,22,90
136,22,80
137,25,90
138,24,90
139,24,90
140,20,90
141,22,90
142,20,90
143,20,80
144,18,80
145,16,80
146,22,80
147,20,80
148,24,80
149,24,80
150,22,80
151,24,80
152,22,80
153,22,80
154,18,80
155,24,90
156,18,80
157,18,80
158,20,80
159,24,90
160,24,90
161,24,90
162,18,80
163,24,90
164,20,80
165,18,80
166,18,80
167,18,80
168,18,80
169,18,80
170,24,90
171,25,90
172,25,90
173,25,90
174,24,80
175,22,80
176,22,80
177,22,80
178,22,80
179,20,80
180,24,70
181,24,80
182,27,80
183,27,80
184,25,90
185,24,100
186,25,100
187,24,90
188,24,90
189,22,90
190,25,90
191,20,80
192,22,80
193,25,90
194,25,70
195,25,80
