number,throttle,steer
1,0,90
2,0,90
3,0,80
4,0,80
5,0,80
6,0,90
7,0,90
8,0,90
9,0,90
10,0,90
11,0,90
12,0,90
13,0,90
14,0,80
15,0,80
16,0,90
17,0,90
18,0,90
19,0,90
20,0,80
21,0,80
22,0,80
23,0,80
24,0,80
25,0,80
26,11,80
27,18,80
28,27,80
29,33,80
30,35,80
31,35,80
32,24,80
33,18,80
34,12,80
35,11,80
36,0,80
37,0,80
38,0,80
39,11,80
40,12,80
41,12,80
42,12,80
43,12,70
44,12,70
45,12,70
46,14,70
47,14,70
48,14,70
49,16,70
50,22,80
51,24,80
52,25,80
53,25,80
54,24,80
55,24,80
56,22,90
57,22,90
58,22,100
59,22,100
60,27,100
61,25,100
62,29,100
63,29,100
64,27,100
65,27,90
66,25,90
67,25,90
68,24,90
69,22,80
70,22,80
71,22,80
72,27,80
73,27,80
74,25,80
75,24,80
76,22,80
77,22,90
78,20,90
79,20,90
80,18,80
81,18,80
82,22,80
83,25,80
84,24,80
85,24,80
86,22,80
87,22,70
88,20,70
89,20,60
90,18,70
91,24,70
92,25,80
93,24,80
94,24,80
95,24,80
96,22,80
97,22,80
98,22,80
99,20,80
100,20,80
101,22,90
102,16,80
103,16,80
104,18,80
105,22,90
106,22,90
107,20,90
108,20,90
109,18,90
110,18,90
111,16,80
112,16,80
113,24,80
114,16,70
115,20,80
116,22,80
117,20,70
118,20,70
119,20,80
120,18,70
121,18,70
122,18,70
123,16,80
124,16,80
125,16,80
126,20,80
127,20,80
128,20,80
129,20,80
130,20,90
131,20,90
132,16,90
133,18,90
134,16,100
135,16,90
136,14,90
137,16,90
138,22,90
139,22,90
140,22,80
141,20,80
142,20,80
143,18,80
144,18,80
145,18,80
146,16,80
147,16,70
148,16,70
149,20,80
150,22,80
151,22,80
152,20,80
153,20,80
154,20,80
155,18,80
156,20,80
157,16,80
158,20,80
159,20,80
160,20,90
161,20,90
162,20,90
163,18,90
164,20,90
165,16,80
166,16,80
167,18,90
168,16,80
169,16,80
170,14,80
171,20,90
172,24,90
173,22,90
174,20,90
175,20,90
176,18,90
177,18,90
178,18,90
179,16,90
180,16,80
181,14,80
182,18,80
183,22,90
184,22,90
185,22,90
186,18,90
187,18,90
188,18,80
189,16,80
190,16,80
191,16,80
192,14,70
193,18,80
194,22,80
195,22,80
196,22,70
197,18,70
198,16,80
199,18,80
200,16,80
201,16,80
202,18,80
203,16,90
204,18,90
205,22,90
206,22,90
207,18,90
208,18,90
209,20,90
210,18,100
211,18,100
212,18,90
213,16,90
214,16,90
215,18,90
216,24,90
217,22,100
218,22,100
219,20,100
220,20,100
221,18,90
222,18,90
223,18,90
224,16,90
225,16,90
226,18,90
227,24,90
228,24,90
229,24,90
230,22,90
231,20,90
232,20,90
233,20,90
234,18,80
235,20,80
236,24,80
237,25,80
238,24,80
239,24,80
240,24,80
241,22,80
242,22,80
243,20,80
244,20,80
245,18,80
246,18,80
247,16,80
248,18,80
249,24,90
250,24,90
251,24,90
252,22,90
253,22,90
254,20,80
255,16,70
256,18,60
257,16,70
258,16,70
259,18,70
260,22,90
261,24,100
262,24,90
263,22,90
264,22,100
265,22,90
266,20,90
267,18,90
268,18,90
269,25,90
270,24,90
271,24,90
272,24,90
273,24,90
274,24,90
275,22,80
276,22,80
277,20,80
278,20,80
279,20,80
280,18,80
281,22,80
282,27,80
283,25,80
284,25,80
285,24,80
286,24,80
287,22,80
288,22,80
289,20,80
290,20,80
291,22,80
292,24,80
293,25,90
294,25,90
295,24,90
296,22,90
297,22,90
298,22,90
299,20,90
300,18,90
301,16,80
302,18,80
303,22,90
304,20,90
305,18,90
306,18,90
307,18,90
308,16,90
309,16,90
310,16,80
311,16,80
312,14,80
313,14,80
314,20,90
315,22,90
316,22,90
317,20,90
318,20,90
319,18,90
320,18,90
321,18,90
322,16,80
323,16,80
324,18,80
325,24,90
326,24,80
327,24,80
328,22,80
329,22,80
330,20,80
331,20,80
332,18,80
333,18,80
334,18,80
335,16,80
336,24,80
337,24,90
338,24,90
339,22,90
340,20,90
341,20,80
342,18,80
343,18,80
344,18,80
345,22,90
346,25,90
347,22,90
348,24,90
349,22,90
350,20,90
351,22,90
352,20,90
353,20,90
354,18,90
355,18,80
356,18,80
357,18,80
358,22,90
359,25,90
360,24,90
361,22,90
362,22,90
363,20,90
364,20,90
365,20,90
366,18,80
367,18,80
368,16,80
369,22,90
370,25,90
371,24,90
372,22,90
373,22,90
374,22,90
375,20,100
376,18,90
377,18,90
378,25,100
379,24,100
380,24,100
381,24,90
382,24,90
383,20,90
384,22,80
385,20,80
386,20,80
387,20,80
388,18,80
389,18,80
390,22,80
391,24,90
392,24,90
393,24,90
394,22,90
395,22,90
396,20,90
397,18,90
398,18,90
399,18,90
400,16,90
401,24,90
402,18,90
403,24,90
404,22,90
405,22,80
406,20,80
407,20,80
408,18,80
409,18,80
410,18,80
411,22,80
412,24,80
413,24,80
414,22,80
415,20,80
416,20,80
417,20,80
418,20,80
419,16,80
420,18,90
421,18,90
422,16,90
423,22,90
424,25,100
425,24,100
426,22,100
427,22,90
428,20,90
429,20,90
430,18,80
431,18,80
432,18,70
433,18,70
434,24,80
435,24,80
436,22,80
437,22,80
438,22,90
439,20,100
440,20,100
441,18,100
442,18,100
443,25,100
444,22,100
445,22,90
446,24,90
447,22,90
448,18,90
449,11,90
450,0,90
451,0,90
452,11,90
453,0,80
454,0,80
455,11,90
456,11,80
457,11,70
458,11,70
459,0,70
460,0,80
461,0,80
462,0,70
463,11,80
464,11,80
465,11,80
466,14,80
467,20,80
468,22,90
469,22,90
470,22,90
471,22,90
472,20,90
473,20,90
474,18,90
475,18,90
476,18,90
477,22,90
478,24,90
479,24,90
480,22,90
481,22,90
